Source,Translation,Context
Bed and Breakfast,Phòng và bữa sáng,
# ---- Loans ----
Loan,Khoản vay,
Loans,Khoản vay,
Loan Type,Loại khoản vay,
Loan Amount,Số tiền vay,
Loan Number,Số khoản vay,
Loan Start,Bắt đầu vay,
Loan End,Kết thúc vay,
Loan Tenure,Thời hạn vay,
Loan Term,Kỳ hạn vay,
Interest Rate,Lãi suất,
Interest Type,Loại lãi suất,
Fixed Interest,Lãi suất cố định,
Variable Interest,Lãi suất biến đổi,
Principal,Gốc,
Principal Amount,Số tiền gốc,
Interest Amount,Số tiền lãi,
Monthly Payment,Trả hàng tháng,
Loan Schedule,Lịch trả vay,
Repayment Schedule,Lịch trả nợ,
Repayment Date,Ngày trả,
EMI,Trả góp hàng tháng,
Equated Monthly Installment,Trả góp hàng tháng,
Repaid,Đã trả,
Outstanding Loan,Khoản vay còn,
Loan Status,Trạng thái khoản vay,
Active Loan,Khoản vay đang hiệu lực,
Closed Loan,Khoản vay đã đóng,
Defaulted,Vỡ nợ,
Disbursed,Đã giải ngân,
Disbursement Date,Ngày giải ngân,
Disbursement Amount,Số tiền giải ngân,
# ---- Agriculture animals ----
Animal Disease,Bệnh động vật,
Animal Vaccination,Tiêm chủng động vật,
Vaccine,Vắc xin,
Vaccination Date,Ngày tiêm chủng,
Feed,Thức ăn,
Feed Type,Loại thức ăn,
Feed Consumption,Tiêu thụ thức ăn,
Milk Production,Sản lượng sữa,
Egg Production,Sản lượng trứng,
Meat Production,Sản lượng thịt,
# ---- Additional common ----
Schedule a Visit,Lên lịch ghé thăm,
Book an Appointment,Đặt lịch hẹn,
Make Reservation,Đặt chỗ,
Confirm Booking,Xác nhận đặt chỗ,
Cancel Booking,Hủy đặt chỗ,
Reschedule,Đổi lịch,
Booking Reference,Mã đặt chỗ,
Confirmation Number,Số xác nhận,
# ---- Time zones ----
Vietnam Time,Giờ Việt Nam,
GMT,GMT,
UTC,UTC,
EST,EST,
PST,PST,
JST,JST,
SGT,SGT,
ICT,ICT,
# ---- Misc lots ----
High Priority,Ưu tiên cao,
Medium Priority,Ưu tiên trung bình,
Low Priority,Ưu tiên thấp,
Urgent Task,Công việc khẩn,
Important Task,Công việc quan trọng,
Routine Task,Công việc thường quy,
Project Task,Công việc dự án,
Follow Up Required,Cần theo dõi,
Action Required,Cần hành động,
Review Required,Cần xem xét,
Approval Required,Cần phê duyệt,
No Action Needed,Không cần hành động,
Acknowledged,Đã ghi nhận,
Escalate,Leo thang,
Escalation Level,Cấp độ leo thang,
Investigate,Điều tra,
Under Investigation,Đang điều tra,
Investigation Complete,Điều tra hoàn tất,
Root Cause,Nguyên nhân gốc,
Root Cause Analysis,Phân tích nguyên nhân gốc,
Impact Level,Mức độ ảnh hưởng,
Severity,Mức độ nghiêm trọng,
Critical,Nghiêm trọng,
Major,Lớn,
Minor,Nhỏ,
Trivial,Không đáng kể,
# ---- Additional UI ----
Collapse Menu,Thu gọn menu,
Expand Menu,Mở rộng menu,
Sidebar Toggle,Bật/tắt thanh bên,
Quick Action,Hành động nhanh,
Quick Add,Thêm nhanh,
Quick Edit,Sửa nhanh,
Quick Delete,Xóa nhanh,
Quick Search,Tìm nhanh,
Quick Filter,Lọc nhanh,
Quick Report,Báo cáo nhanh,
Favorite,Yêu thích,
Bookmarks,Đánh dấu,
Recent Documents,Tài liệu gần đây,
Pinned Documents,Tài liệu đã ghim,
Latest Activities,Hoạt động mới nhất,
Your Recent,Gần đây của bạn,
Your Favorites,Yêu thích của bạn,
# ---- Buttons variants ----
Submit Now,Xác nhận ngay,
Cancel All,Hủy tất cả,
Save All,Lưu tất cả,
Delete All,Xóa tất cả,
Export All,Xuất tất cả,
Import All,Nhập tất cả,
Print All,In tất cả,
Email All,Gửi email tất cả,
Download All,Tải xuống tất cả,
# ======================================================================
# BATCH 10: Miscellaneous + Specialized
# ======================================================================
# ---- More field types ----
Text Field,Trường văn bản,
Number Field,Trường số,
Currency Field,Trường tiền tệ,
Date Field,Trường ngày,
Time Field,Trường giờ,
Datetime Field,Trường ngày giờ,
Email Field,Trường email,
Phone Field,Trường điện thoại,
URL Field,Trường URL,
Checkbox Field,Trường chọn,
Radio Field,Trường radio,
Dropdown Field,Trường thả xuống,
Textarea Field,Trường văn bản lớn,
Password Field,Trường mật khẩu,
File Field,Trường tệp,
Image Field,Trường hình ảnh,
Color Field,Trường màu,
Rating Field,Trường đánh giá,
Signature Field,Trường chữ ký,
Barcode Field,Trường mã vạch,
QR Field,Trường mã QR,
Map Field,Trường bản đồ,
Link Field,Trường liên kết,
Select Field,Trường chọn,
Multi Select,Chọn nhiều,
Multi Link,Liên kết nhiều,
Table Field,Trường bảng,
Grid,Lưới,
Multi Grid,Đa lưới,
Code Field,Trường mã,
Markdown Field,Trường markdown,
HTML Field,Trường HTML,
JSON Field,Trường JSON,
Text Editor,Trình soạn thảo,
Rich Text Editor,Trình soạn thảo định dạng,
WYSIWYG,WYSIWYG,
Section Heading,Tiêu đề phần,
Column Heading,Tiêu đề cột,
Horizontal Line,Đường ngang,
Spacer,Khoảng cách,
Divider,Dấu chia,
# ---- More actions ----
Assign Multiple,Phân công nhiều,
Assign Individual,Phân công cá nhân,
Reassign,Phân công lại,
Unassign All,Bỏ phân công tất cả,
Watch,Theo dõi,
Unwatch,Bỏ theo dõi,
Star Document,Đánh dấu tài liệu,
Unstar,Bỏ đánh dấu,
Pin Document,Ghim tài liệu,
Unpin Document,Bỏ ghim tài liệu,
Hide Document,Ẩn tài liệu,
Show Document,Hiện tài liệu,
Mark Complete,Đánh dấu hoàn thành,
Mark Incomplete,Đánh dấu chưa hoàn thành,
Mark Pending,Đánh dấu chờ,
Mark In Progress,Đánh dấu đang xử lý,
Move Up,Di chuyển lên,
Move Down,Di chuyển xuống,
Move to Top,Chuyển lên đầu,
Move to Bottom,Chuyển xuống cuối,
Move Left,Di chuyển trái,
Move Right,Di chuyển phải,
Move Forward,Chuyển tiếp,
Move Backward,Chuyển ngược,
Indent,Thụt vào,
Outdent,Thụt ra,
Align Left,Căn trái,
Align Right,Căn phải,
Align Center,Căn giữa,
Justify,Căn đều,
# ---- Text formatting ----
Bold,Đậm,
Italic,Nghiêng,
Underline,Gạch dưới,
Strikethrough,Gạch ngang,
Subscript,Chỉ số dưới,
Superscript,Chỉ số trên,
Font Size,Cỡ chữ,
Font Color,Màu chữ,
Background Color,Màu nền,
Highlight,Tô sáng,
Bulleted List,Danh sách dấu đầu dòng,
Numbered List,Danh sách số,
Checklist,Danh sách kiểm tra,
Indent List,Thụt danh sách,
Block Quote,Khối trích dẫn,
Code Block,Khối mã,
Inline Code,Mã trong dòng,
Link Text,Văn bản liên kết,
Insert Link,Chèn liên kết,
Remove Link,Xóa liên kết,
Insert Image,Chèn hình ảnh,
Insert Video,Chèn video,
Insert Audio,Chèn âm thanh,
Insert Table,Chèn bảng,
Insert Emoji,Chèn biểu tượng cảm xúc,
Insert Mention,Chèn thẻ nhắc,
Insert Tag,Chèn thẻ,
Insert Date,Chèn ngày,
Insert Time,Chèn giờ,
Insert Signature,Chèn chữ ký,
Insert Footnote,Chèn chú thích,
# ---- More misc ----
Preview URL,Xem trước URL,
Click to Copy,Nhấp để sao chép,
Copied,Đã sao chép,
Failed to Copy,Sao chép thất bại,
Copy Failed,Sao chép thất bại,
Auto Hide,Tự động ẩn,
Auto Show,Tự động hiện,
Maximize,Phóng to,
Minimize,Thu nhỏ,
Fullscreen,Toàn màn hình,
Exit Fullscreen,Thoát toàn màn hình,
Enlarge,Phóng to,
Shrink,Thu nhỏ,
Rotate,Xoay,
Rotate Left,Xoay trái,
Rotate Right,Xoay phải,
Flip Horizontal,Lật ngang,
Flip Vertical,Lật dọc,
# ---- More validation ----
Not a Valid Date,Ngày không hợp lệ,
Not a Valid Email,Email không hợp lệ,
Not a Valid URL,URL không hợp lệ,
Not a Valid Phone,Số điện thoại không hợp lệ,
Not a Valid Number,Số không hợp lệ,
Not a Valid Currency,Tiền tệ không hợp lệ,
Not a Valid File,Tệp không hợp lệ,
Not a Valid Image,Hình ảnh không hợp lệ,
Value Out of Range,Giá trị ngoài phạm vi,
Too Short,Quá ngắn,
Too Long,Quá dài,
Minimum Length,Độ dài tối thiểu,
Maximum Length,Độ dài tối đa,
Minimum Value,Giá trị tối thiểu,
Maximum Value,Giá trị tối đa,
Exact Length Required,Cần độ dài chính xác,
Should be Unique,Cần phải duy nhất,
Already Exists,Đã tồn tại,
Does Not Exist,Không tồn tại,
Not Found in System,Không tìm thấy trong hệ thống,
# ---- Actions/transitions ----
Create New,Tạo mới,
Create from Template,Tạo từ mẫu,
Save As New,Lưu dưới dạng mới,
Save As Template,Lưu dưới dạng mẫu,
Save As Draft,Lưu dưới dạng nháp,
Save As Final,Lưu dưới dạng cuối,
Make New,Tạo mới,
Make Order,Tạo đơn,
Make Invoice,Tạo hóa đơn,
Make Payment,Tạo thanh toán,
Make Delivery,Tạo phiếu giao,
Make Receipt,Tạo phiếu nhận,
Make Quotation,Tạo báo giá,
Make Entry,Tạo bút toán,
Make Return,Tạo phiếu trả,
Make Credit Note,Tạo giấy báo có,
Make Debit Note,Tạo giấy báo nợ,
# ---- Item attributes ----
Item Colour,Màu hàng,
Item Size,Kích cỡ,
Size Small,Nhỏ,
Size Medium,Vừa,
Size Large,Lớn,
Size Extra Large,Rất lớn,
Size Extra Small,Rất nhỏ,
S,S,
M,M,
L,L,
XL,XL,
XXL,XXL,
XXXL,XXXL,
Material,Chất liệu,
Style,Kiểu,
Pattern,Hoa văn,
Texture,Kết cấu,
Origin,Xuất xứ,
# ---- Subscription / plans ----
Basic Plan,Gói cơ bản,
Standard Plan,Gói tiêu chuẩn,
Premium Plan,Gói cao cấp,
Enterprise Plan,Gói doanh nghiệp,
Free Plan,Gói miễn phí,
Trial Plan,Gói dùng thử,
Plan Name,Tên gói,
Plan Price,Giá gói,
Plan Features,Tính năng gói,
Plan Limit,Giới hạn gói,
Users Allowed,Số người dùng cho phép,
Storage Allowed,Dung lượng cho phép,
Bandwidth,Băng thông,
Transactions Allowed,Số giao dịch cho phép,
Upgrade Plan,Nâng cấp gói,
Downgrade Plan,Hạ cấp gói,
Switch Plan,Đổi gói,
Cancel Plan,Hủy gói,
Renew Plan,Gia hạn gói,
Plan Status,Trạng thái gói,
Expired Plan,Gói hết hạn,
Active Plan,Gói đang hiệu lực,
Plan Renewed,Gói đã gia hạn,
Plan Cancelled,Gói đã hủy,
# ---- Time tracking ----
Start Timer,Bắt đầu đếm giờ,
Stop Timer,Dừng đếm giờ,
Pause Timer,Tạm dừng đếm giờ,
Resume Timer,Tiếp tục đếm giờ,
Reset Timer,Đặt lại đếm giờ,
Timer Running,Đếm giờ đang chạy,
Timer Paused,Đếm giờ đã tạm dừng,
Timer Stopped,Đếm giờ đã dừng,
Elapsed Time,Thời gian đã trôi qua,
Remaining Time,Thời gian còn lại,
Time Spent,Thời gian đã dùng,
Active Time,Thời gian hoạt động,
# ---- More UI states ----
Expanded,Đã mở rộng,
Collapsed,Đã thu gọn,
Shown,Đang hiển thị,
Hidden,Đang ẩn,
Visible,Có thể nhìn thấy,
Not Visible,Không thể nhìn thấy,
Focused,Đang tập trung,
Blurred,Đang mờ,
Selected State,Trạng thái đã chọn,
Unselected,Chưa chọn,
Hovered,Đang di chuột,
Pressed,Đang nhấn,
Released,Đã thả,
Clicked,Đã nhấp,
Double Clicked,Đã nhấp đúp,
Right Clicked,Đã nhấp chuột phải,
# ---- Final misc ----
Show Password,Hiện mật khẩu,
Hide Password,Ẩn mật khẩu,
Show More Info,Hiện thêm thông tin,
Hide More Info,Ẩn thông tin,
Show All,Hiện tất cả,
Hide All,Ẩn tất cả,
Expand All Sections,Mở rộng tất cả phần,
Collapse All Sections,Thu gọn tất cả phần,
Take Screenshot,Chụp màn hình,
Save Screenshot,Lưu ảnh chụp,
Record Video,Quay video,
Pause Recording,Tạm dừng quay,
Stop Recording,Dừng quay,
Start Recording,Bắt đầu quay,
Upload Audio,Tải lên âm thanh,
Record Audio,Ghi âm,
Play,Phát,
Pause Play,Tạm dừng,
Stop Play,Dừng phát,
Forward Play,Tua tới,
Rewind Play,Tua lại,
Speed Up,Tăng tốc,
Slow Down,Giảm tốc,
Volume Up,Tăng âm,
Volume Down,Giảm âm,
Mute Volume,Tắt tiếng,
Unmute Volume,Bật tiếng,
# ---- Feedback & Surveys ----
Feedback Form,Biểu mẫu phản hồi,
Feedback Type,Loại phản hồi,
Positive Feedback,Phản hồi tích cực,
Negative Feedback,Phản hồi tiêu cực,
Neutral Feedback,Phản hồi trung lập,
Survey,Khảo sát,
Survey Question,Câu hỏi khảo sát,
Survey Response,Trả lời khảo sát,
Survey Result,Kết quả khảo sát,
Survey Status,Trạng thái khảo sát,
Take Survey,Làm khảo sát,
Complete Survey,Hoàn thành khảo sát,
Skip Survey,Bỏ qua khảo sát,
# ---- Onboarding ----
Welcome,Chào mừng,
Get Started,Bắt đầu,
Quick Start,Khởi động nhanh,
Tour,Tham quan,
Start Tour,Bắt đầu tham quan,
Skip Tour,Bỏ qua tham quan,
Tutorial,Hướng dẫn,
Start Tutorial,Bắt đầu hướng dẫn,
Complete Tutorial,Hoàn thành hướng dẫn,
Setup,Cài đặt ban đầu,
Complete Setup,Hoàn thành cài đặt,
Skip Setup,Bỏ qua cài đặt,
Setup Wizard,Trợ lý cài đặt,
Setup Complete,Cài đặt hoàn tất,
# ---- Feedback common ----
Tell Us What You Think,Hãy cho chúng tôi biết ý kiến,
Rate Your Experience,Đánh giá trải nghiệm của bạn,
Share Your Feedback,Chia sẻ phản hồi,
Contact Support,Liên hệ hỗ trợ,
Get Help,Nhận trợ giúp,
Need Help,Cần trợ giúp,
Help Center,Trung tâm trợ giúp,
Support Center,Trung tâm hỗ trợ,
FAQ Section,Phần câu hỏi thường gặp,
Frequently Asked Questions,Câu hỏi thường gặp,
# ---- Others ----
Copy to Clipboard,Sao chép vào bộ nhớ đệm,
Paste from Clipboard,Dán từ bộ nhớ đệm,
Clipboard,Bộ nhớ đệm,
Undo Last,Hoàn tác cuối,
Redo Last,Làm lại cuối,
New Tab,Tab mới,
New Window,Cửa sổ mới,
Open Tab,Mở tab,
Close Tab,Đóng tab,
Open Window,Mở cửa sổ,
Close Window,Đóng cửa sổ,
Close All Tabs,Đóng tất cả tab,
Reopen Tab,Mở lại tab,
Browser,Trình duyệt,
Extension,Tiện ích mở rộng,
Plugin,Plugin,
Addon,Tiện ích,
Cookie,Cookie,
Accept Cookies,Chấp nhận cookies,
Reject Cookies,Từ chối cookies,
Manage Cookies,Quản lý cookies,
Cookie Settings,Cài đặt cookies,
Local Storage,Lưu trữ cục bộ,
Session Storage,Lưu trữ phiên,
Cache Storage,Lưu trữ đệm,
IndexedDB,Cơ sở dữ liệu trình duyệt,
Service Worker,Service Worker,
# ---- More statuses ----
Ready,Sẵn sàng,
Not Ready,Chưa sẵn sàng,
Preparing,Đang chuẩn bị,
Prepared,Đã chuẩn bị,
Available Now,Có sẵn ngay,
Not Available Now,Không có sẵn,
Out of Service,Không hoạt động,
In Service,Đang hoạt động,
Online Status,Trực tuyến,
Offline Status,Ngoại tuyến,
Away Status,Vắng mặt,
Busy Status,Bận,
Do Not Disturb,Không làm phiền,
Free Status,Rảnh,
Out of Office,Vắng văn phòng,
# ---- Time of day ----
Morning,Buổi sáng,
Afternoon,Buổi chiều,
Evening,Buổi tối,
Night,Đêm,
Noon,Trưa,
Midnight,Nửa đêm,
Dawn,Bình minh,
Dusk,Hoàng hôn,
Early Morning,Sáng sớm,
Late Morning,Cuối buổi sáng,
Early Afternoon,Đầu buổi chiều,
Late Afternoon,Cuối buổi chiều,
Early Evening,Đầu buổi tối,
Late Evening,Cuối buổi tối,
# ---- Final finishing touches ----
Great Job,Làm tốt lắm,
Keep Going,Tiếp tục,
Almost There,Sắp xong rồi,
You are Done,Bạn đã hoàn thành,
Congratulations,Chúc mừng,
Well Done,Hoàn thành tốt,
Thank You,Cảm ơn,
Welcome Aboard,Chào mừng bạn,
Goodbye,Tạm biệt,
See You Later,Hẹn gặp lại,
Have a Nice Day,Chúc một ngày tốt lành,
Have a Good Evening,Chúc một buổi tối tốt lành,
Good Morning,Chào buổi sáng,
Good Afternoon,Chào buổi chiều,
Good Evening,Chào buổi tối,
Good Night,Chúc ngủ ngon,
Please,Vui lòng,
Thanks,Cảm ơn,
You are Welcome,Không có chi,
Sorry,Xin lỗi,
Excuse Me,Xin lỗi,
Pardon,Xin lỗi,
No Problem,Không vấn đề gì,
It's Okay,Không sao,
